time:0
iteration:1
error:8,881784197001252E-16
____________________________________________________________
|__________(r,z)|____________Q|________RealF|_______Q-RealF|
|(0,0000;0,0000)|  0,000000000|  0,000000000|   0,000000000|
|(0,5000;0,0000)|  0,232954545|  0,250000000|  -0,017045455|
|(1,0000;0,0000)|  1,000000000|  1,000000000|   0,000000000|
|(0,0000;0,5000)|  0,000000000|  0,000000000|   0,000000000|
|(0,5000;0,5000)|  0,232954545|  0,250000000|  -0,017045455|
|(1,0000;0,5000)|  1,000000000|  1,000000000|   0,000000000|
|(0,0000;1,0000)|  0,000000000|  0,000000000|   0,000000000|
|(0,5000;1,0000)|  0,232954545|  0,250000000|  -0,017045455|
|(1,0000;1,0000)|  1,000000000|  1,000000000|   0,000000000|
